player,player_id,team_id,reset_throws,reset_aec,reset_aec_per_throw,avg_reset_cp,avg_reset_yards
Owen Johnson,ojohnson,sol,33,-1.090402564016695,-0.03304250193989985,0.9782471417099822,-4.967272727272729
Daniel Ritthaler,dritthale,spiders,62,-1.9855185112466573,-0.03309197518744429,0.9817853316272876,-5.293870967741935
Oliver Chartock,ochartock,empire,36,-1.192457217622418,-0.03312381160062272,0.9778531392225595,-5.856388888888889
Araav Sehgal,asehgal,rush,53,-1.7579313970272623,-0.03316851692504268,0.9825970527671691,-5.799811320754717
Emmett Warner,ewarner1,steel,35,-1.1648965213625886,-0.03328275775321682,0.9829290758548581,-3.700571428571428
Sam Jonas,sjonas,empire,42,-1.4102036388011159,-0.03357627711431228,0.9805452634257412,-5.221190476190476
Evan  Magsig,emagsig,spiders,56,-1.8814691024967496,-0.033597662544584815,0.9788614200005388,-5.648392857142857
Emmanuel Bilolo,ebilolo,havoc,25,-0.841926164292298,-0.033677046571691925,0.9836033978342735,-6.3248
William Brandt,wbrandt,windchill,100,-3.375595051077561,-0.03375595051077561,0.9791696595961317,-4.754700000000001
Cole Chanler,cchanler,sol,33,-1.1274426870897307,-0.03416492991181002,0.9794672566104571,-5.548484848484847
Saaketh Palchuru,spalchuru,sol,72,-2.4781376883926924,-0.03441857900545406,0.9818168921489117,-4.620138888888889
Spencer Lofink,slofink,cascades,124,-4.290616836628736,-0.03460174868248981,0.9803555515858406,-4.928629032258065
Quinn Buermeyer,qbuermeye,steel,64,-2.255800268046791,-0.035246879188231106,0.986881147492124,-4.84734375
Gordon Larson,glarson,windchill,97,-3.421575421902828,-0.03527397342167864,0.9830803821169932,-4.63680412371134
Travis Dunn,tdunn,growlers,66,-2.330584737207784,-0.0353118899576937,0.9815663192366667,-5.278333333333333
Brendan Gessner,bgessner,thunderbirds,27,-0.9565830733888679,-0.03542900271810622,0.980516380443473,-6.59777777777778
William St-Pierre,wstpierre,royal,25,-0.8886439689789064,-0.035545758759156255,0.9829119081947826,-4.0796
Clint McSherry,cmcsherry,thunderbirds,33,-1.1764987462750949,-0.03565147715985136,0.9810102235367479,-5.795757575757577
Josh Klane,jklane,windchill,78,-2.7985628145310675,-0.03587901044270599,0.9802570965583691,-5.958846153846154
Pete Zaccardi,pzaccardi,thunderbirds,53,-1.9023381925077156,-0.0358931734435418,0.9826564844485128,-7.7103773584905655
Michael Dillard,mdillard,thunderbirds,74,-2.687055603338053,-0.036311562207270984,0.9798722268284636,-5.62918918918919
Max Pettenuzzo,mpettenuz,rush,83,-3.019410100744478,-0.036378434948728645,0.980586778638987,-5.355421686746988
Grady Richman,grichman,hustle,29,-1.066077387423735,-0.036761289221508106,0.9801955678570009,-5.396896551724137
Noah Celuch,nceluch,thunderbirds,56,-2.06185695641578,-0.03681887422171036,0.9801742458809098,-6.320178571428571
Will Hoffenkamp,whoffenka,thunderbirds,123,-4.539409102331841,-0.036905765059608464,0.9794715692233515,-5.661300813008129
Jeff Weis,jweis,union,60,-2.223688507652317,-0.03706147512753862,0.9837852575911891,-5.159999999999999
Pawel Janas,pjanas,union,94,-3.492200439542524,-0.03715106850577153,0.9836578805616566,-4.358510638297872
Ryan Ward,rward1,thunderbirds,31,-1.1522580396257005,-0.03716961418147421,0.9755580994047083,-5.955806451612903
Seth Faris,sfaris,apex,41,-1.5246273116401676,-0.0371860319912236,0.9801797323783177,-4.201219512195121
Andy Wang,awang,havoc,58,-2.1729395056640746,-0.03746447423558749,0.9839403163519871,-4.92844827586207
Jacques Nissen,jnissen,breeze,67,-2.5151592592237684,-0.037539690436175645,0.9723374182520148,-6.1502985074626855
Kristian Johnson,kjohnson1,windchill,47,-1.7783132141585185,-0.03783645136507486,0.9803945511386389,-5.468510638297872
Mike Campanella,mcampanel,phoenix,57,-2.17045506885725,-0.038078159102758774,0.9833245483991457,-4.813508771929825
Spencer Dillon,sdillon,rush,57,-2.1856227536440835,-0.038344258835861116,0.9838532720168641,-5.222631578947368
Nayland Stuart,nstuart1,bighorns,53,-2.032410748802354,-0.038347372618912336,0.982511198841132,-4.821886792452831
