type,line,time,puller,pullX,pullY,pullMs,thrower,throwerX,throwerY,receiver,receiverX,receiverY,defender,turnoverX,turnoverY,team_side
18,,,,,,,asehgal,19.39,53.34,amuraoka,12.11,34.32,,,,home
18,,,,,,,amuraoka,12.11,34.32,lcomire,19.18,59.31,,,,home
22,,,,,,,lcomire,19.18,59.31,,,,,0.78,113.34,home
11,,,,,,,,,,,,,bklar,,,home
22,,,,,,,lcomire,5.31,100.0,,,,,14.92,108.46,home
13,,,,,,,,,,,,,,,,home
25,"['amuraoka', 'kjay', 'ostonehou', 'lcomire', 'dmiller2', 'bklar', 'aturcotte']",662.0,,,,,,,,,,,,,,home
18,,,,,,,kjay,-25.57,77.16,amuraoka,-15.62,67.34,,,,home
18,,,,,,,amuraoka,-15.62,67.34,lcomire,-7.52,51.96,,,,home
18,,,,,,,lcomire,-7.52,51.96,ostonehou,-16.86,80.11,,,,home
18,,,,,,,ostonehou,-16.86,80.11,lcomire,-0.79,76.33,,,,home
18,,,,,,,lcomire,-0.79,76.33,aturcotte,7.31,82.72,,,,home
18,,,,,,,aturcotte,7.31,82.72,amuraoka,18.77,79.15,,,,home
19,,,,,,,amuraoka,18.77,79.15,ostonehou,21.31,107.71,,,,home
1,"['zarmstron', 'ktong', 'tpuckrin', 'khuang', 'jmcclean', 'cchan', 'aturcotte']",686.0,,,,,,,,,,,,,,home
7,,,zarmstron,0.37,58.97,7067.0,,,,,,,,,,home
15,,,,,,,,,,,,,,,,home
2,"['amuraoka', 'ostonehou', 'zarmstron', 'lcomire', 'rcarvalho', 'dmiller2', 'aturcotte']",704.0,,,,,,,,,,,,,,home
18,,,,,,,lcomire,0.37,16.68,aturcotte,8.4,29.58,,,,home
18,,,,,,,aturcotte,8.4,29.58,amuraoka,14.51,31.23,,,,home
18,,,,,,,amuraoka,14.51,31.23,rcarvalho,19.8,42.83,,,,home
18,,,,,,,rcarvalho,19.8,42.83,aturcotte,5.52,28.62,,,,home
18,,,,,,,aturcotte,5.52,28.62,lcomire,-11.02,45.1,,,,home
22,,,,,,,lcomire,-11.02,45.1,,,,,1.61,100.0,home
29,,,,,,,,,,,,,,,,home
1,"['amuraoka', 'kjay', 'ktong', 'lcomire', 'dmiller2', 'bklar', 'asehgal']",0.0,,,,,,,,,,,,,,home
7,,,amuraoka,-1.21,100.0,6052.0,,,,,,,,,,home
15,,,,,,,,,,,,,,,,home
2,"['ostonehou', 'rcarvalho', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee']",59.0,,,,,,,,,,,,,,home
18,,,,,,,aodonnell,9.78,13.72,aturcotte,2.29,20.0,,,,home
18,,,,,,,aturcotte,2.29,20.0,ostonehou,17.4,35.28,,,,home
18,,,,,,,ostonehou,17.4,35.28,rpoloz,10.05,24.57,,,,home
18,,,,,,,rpoloz,10.05,24.57,aturcotte,-2.37,31.64,,,,home
22,,,,,,,aturcotte,-2.37,31.64,,,,,-25.5,33.91,home
16,,,,,,,,,,,,,,,,home
15,,,,,,,,,,,,,,,,home
2,"['amuraoka', 'kjay', 'ktong', 'lcomire', 'dmiller2', 'bklar', 'asehgal']",147.0,,,,,,,,,,,,,,home
